Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",IV,Delta,Type,"Last Trade"
"5,450.00",+7.81%,"1,192.30","1,207.65","1,223.00","1,181.91",unch,unch,0,78,unch,17.29%,0.7866,Call,05/22/25
"5,500.00",+6.96%,"1,159.30","1,174.65","1,190.00","1,184.58",unch,unch,0,"1,280",unch,17.23%,0.7773,Call,05/29/25
"5,550.00",+6.12%,"1,126.80","1,142.05","1,157.30","1,115.76",unch,unch,0,65,unch,17.17%,0.7679,Call,05/27/25
"5,600.00",+5.27%,"1,094.50","1,109.70","1,124.90",0.00,unch,unch,0,619,unch,17.10%,0.7583,Call,N/A
"5,650.00",+4.43%,"1,062.60","1,077.75","1,092.90",0.00,unch,unch,0,59,unch,17.03%,0.7485,Call,N/A
"5,700.00",+3.58%,"1,031.00","1,046.10","1,061.20","1,053.00",unch,unch,0,534,+100,16.96%,0.7386,Call,05/29/25
"5,750.00",+2.74%,999.50,"1,014.65","1,029.80",0.00,unch,unch,0,322,unch,16.88%,0.7286,Call,N/A
"5,800.00",+1.89%,968.60,983.80,999.00,989.28,unch,unch,0,"1,441",unch,16.80%,0.7183,Call,05/29/25
"5,850.00",+1.04%,938.10,953.20,968.30,0.00,unch,unch,0,54,unch,16.71%,0.7079,Call,N/A
"5,900.00",+0.20%,907.90,922.80,937.70,930.04,unch,unch,0,"1,091",+13,16.62%,0.6973,Call,05/29/25
"5,950.00",-0.65%,880.10,893.75,907.40,0.00,unch,unch,0,43,unch,16.55%,0.6864,Call,N/A
"6,000.00",-1.49%,850.60,864.25,877.90,845.00,-30.59,-3.49%,3,"8,289",+37,16.46%,0.6755,Call,05/30/25
"6,050.00",-2.34%,821.60,835.15,848.70,814.39,unch,unch,0,24,unch,16.36%,0.6644,Call,05/27/25
"6,100.00",-3.19%,792.90,806.45,820.00,804.22,unch,unch,0,961,unch,16.27%,0.6531,Call,05/27/25
"6,150.00",-4.03%,764.60,778.10,791.60,0.00,unch,unch,0,96,unch,16.16%,0.6417,Call,N/A
"6,200.00",-4.88%,736.80,750.25,763.70,756.27,+756.27,unch,1,911,unch,16.23%,0.6298,Call,05/30/25
"6,250.00",-5.72%,709.40,722.65,735.90,0.00,unch,unch,0,176,unch,15.95%,0.6183,Call,N/A
"6,300.00",-6.57%,682.40,695.60,708.80,700.00,+700.00,unch,5,199,unch,15.97%,0.6063,Call,05/30/25
"6,350.00",-7.41%,655.80,668.95,682.10,0.00,unch,unch,0,10,unch,15.74%,0.5943,Call,N/A
"6,400.00",-8.26%,629.70,642.80,655.90,660.00,unch,unch,0,796,unch,15.63%,0.5820,Call,05/27/25
"5,450.00",-7.81%,350.30,358.30,366.30,0.00,unch,unch,0,175,unch,20.57%,-0.2751,Put,N/A
"5,500.00",-6.96%,362.70,370.80,378.90,368.80,unch,unch,0,"2,351",unch,20.38%,-0.2840,Put,05/29/25
"5,550.00",-6.12%,375.30,383.55,391.80,396.71,unch,unch,0,81,unch,20.18%,-0.2949,Put,05/27/25
"5,600.00",-5.27%,388.30,396.65,405.00,0.00,unch,unch,0,550,unch,19.98%,-0.3053,Put,N/A
"5,650.00",-4.43%,401.60,410.10,418.60,0.00,unch,unch,0,18,unch,19.77%,-0.3170,Put,N/A
"5,700.00",-3.58%,415.20,423.80,432.40,430.95,unch,unch,0,"1,577",unch,19.56%,-0.3289,Put,05/22/25
"5,750.00",-2.74%,429.10,437.85,446.60,0.00,unch,unch,0,231,unch,19.35%,-0.3418,Put,N/A
"5,800.00",-1.89%,443.40,452.25,461.10,448.10,unch,unch,0,"1,269",+70,19.13%,-0.3529,Put,05/29/25
"5,850.00",-1.04%,457.90,466.95,476.00,0.00,unch,unch,0,182,unch,18.91%,-0.3654,Put,N/A
"5,900.00",-0.20%,472.90,482.05,491.20,481.58,unch,unch,0,909,+10,18.68%,-0.3786,Put,05/29/25
"5,950.00",+0.65%,488.20,497.50,506.80,0.00,unch,unch,0,17,unch,18.45%,-0.3927,Put,N/A
"6,000.00",+1.49%,503.80,513.30,522.80,533.07,+22.26,+4.36%,202,"7,795",+36,18.21%,-0.4078,Put,05/30/25
"6,050.00",+2.34%,519.80,529.45,539.10,544.34,unch,unch,0,140,unch,17.95%,-0.4321,Put,05/27/25
"6,100.00",+3.19%,536.30,546.05,555.80,545.62,unch,unch,0,"1,562",+135,17.68%,-0.4453,Put,05/29/25
"6,150.00",+4.03%,553.10,562.95,572.80,0.00,unch,unch,0,34,unch,17.41%,-0.4580,Put,N/A
"6,200.00",+4.88%,570.30,580.30,590.30,581.51,unch,unch,1,283,unch,17.16%,-0.4723,Put,05/30/25
"6,250.00",+5.72%,587.90,598.05,608.20,0.00,unch,unch,0,33,unch,16.85%,-0.4875,Put,N/A
"6,300.00",+6.57%,605.20,616.30,627.40,614.72,unch,unch,5,966,unch,16.51%,-0.5353,Put,05/30/25
"6,350.00",+7.41%,623.80,635.10,646.40,0.00,unch,unch,0,86,unch,16.18%,-0.5586,Put,N/A
"6,400.00",+8.26%,642.80,654.10,665.40,646.12,unch,unch,0,335,unch,15.80%,-0.5736,Put,05/27/25
"Downloaded from Barchart.com as of 06-01-2025 12:14am CDT"
